抓取時間,超連結,物件標題,物件價格,格局,地址 , 物件類型 , 屋齡 , 樓層,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS177171&pi=29&st=&si=7&spu=feaabkd,天母國中4房2樓,2780萬,4房2廳2衛40.29坪(建坪),台北市士林區德行東路 , 公寓 , 43.8年 , 2 / 5樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS177288&pi=29&st=&si=8&spu=aekakkf,B2地上權松山露台兩房戶,988萬,1房1廳1衛14.35坪(建坪),台北市松山區南京東路五段 , 華廈 , 18.8年 , 2 / 3樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS26931&pi=29&st=&si=9&spu=ackhfkd,古亭捷運辦公面羅斯福,5435萬,降價4580,台北市中正區南昌路二段 , 大樓 , 40.7年 , 3 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS26935&pi=29&st=&si=10&spu=ackhfkd,古亭捷運辦公後棟安靜,5065萬,降價4268,台北市中正區南昌路二段 , 大樓 , 40.7年 , 3 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS171868&pi=30&st=&si=1&spu=ahfafkd,新北投捷運景觀雙車位三房,2688萬,3房3廳3衛80.31坪(建坪),台北市北投區新民路 , 華廈 , 28.5年 , 7 / 10樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS175012&pi=30&st=&si=2&spu=aggafkk,北投公園小套房,398萬,1房廳1衛9.81坪(建坪),台北市北投區中山路 , 大樓 , 40.6年 , 5 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS155064&pi=30&st=&si=3&spu=afgakkd,敦南山林景觀別墅,5188萬,5房3廳4衛7室 (含加蓋1房1室)103.42坪(建坪),台北市文山區木柵路四段 , 透天 , 32.3年 , B1-4 / 4樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS162499&pi=30&st=&si=4&spu=afgakkd,重慶南路汀洲路口三角窗店,6280萬,0房3廳1衛107.47坪(建坪),台北市中正區重慶南路三段 , 大樓 , 41.3年 , B1-1 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS177582&pi=30&st=&si=5&spu=afgakkd,J2專任民生雙連超值辦公,5680萬,8房2廳0衛109.44坪(建坪),台北市中山區民生東路一段 , 大樓 , 44.3年 , 4 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=XS94521&pi=30&st=&si=9&spu=aekakkd,中研稀有透天,4680萬,6房2廳3衛(含加蓋1房/1衛)80.49坪(建坪),台北市南港區研究院路二段 , 透天 , 30.8年 , B1-2 / 2樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS166529&pi=30&st=&si=10&spu=aekakkd,港墘捷運景觀樓中樓,6988萬,6房4廳3衛(含加蓋2房/1廳)106.54坪(建坪),台北市內湖區內湖路二段 , 華廈 , 28.6年 , 10 / 10樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS17379&pi=31&st=&si=1&spu=aekakkd,K6南京三民置產金雞母,3188萬,7房0廳7衛46.2坪(建坪),台北市松山區八德路四段 , 公寓 , 49.4年 , 5 / 5樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS174690&pi=31&st=&si=2&spu=aekakkd,麟光捷運亮麗3房,1880萬,3房2廳1衛28.35坪(建坪),台北市大安區富陽街 , 公寓 , 47.5年 , 4 / 5樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS162865&pi=31&st=&si=3&spu=aekakkd,天母幸福華廈,2700萬,3房2廳2衛42.5坪(建坪),台北市士林區中山北路七段 , 華廈 , 46.3年 , 3 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS159155&pi=31&st=&si=4&spu=aekakkd,北投東騰越氣派景觀戶,7160萬,3房2廳2衛108.95坪(建坪),台北市北投區泉源路 , 大樓 , 8.7年 , 5 / 19樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=OS175376&pi=31&st=&si=5&spu=aekakkd,130.雙溪景觀電梯豪宅坡平,7380萬,6房4廳5衛119.37坪(建坪),台北市士林區雙溪街 , 華廈 , 40.6年 , 7 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS171121&pi=31&st=&si=6&spu=aekakkd,智慧大樓挑高廠辦,6988萬,5室1廳1衛135.9坪(建坪),台北市內湖區瑞光路 , 華廈 , 25.5年 , 5 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=XS117201&pi=31&st=&si=7&spu=aekakkd,內湖科學園區氣派大樓,18800萬,１１室１廳277.61坪(建坪),台北市內湖區瑞光路 , 華廈 , 21.5年 , 7 / 10樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS166002&pi=31&st=&si=8&spu=aekakkd,天母國小美日學校花園一樓,3480萬,4房2廳2衛55.42坪(建坪),台北市士林區天母北路 , 華廈 , 35.4年 , 1 / 5樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=XS82971&pi=31&st=&si=9&spu=affakkd,築夢A1A2戶店面,2200萬,0房0廳1衛43.29坪(建坪),台北市南港區舊莊街一段 , 華廈 , 6.3年 , 1 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=XS108568&pi=31&st=&si=10&spu=affakkd,松隆永吉商務總部,15600萬,30房廳3衛324.54坪(建坪),台北市信義區永吉路 , 大樓 , 27.7年 , B1 / 11樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS23967&pi=32&st=&si=1&spu=affakkd,南港全新低總價店面,2200萬,OPEN43.29坪(建坪),台北市南港區舊莊街一段 , 華廈 , 6.3年 , 1 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS173473&pi=32&st=&si=6&spu=ahkafak,北醫284巷坡平車位,350萬,11.62坪(建坪),台北市信義區吳興街 , 其他 , 34.9年 , B3 / 6樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS173908&pi=33&st=&si=2&spu=agiafkd,文化學區門口方便好停車,2480萬,3房2廳2衛61.58坪(建坪),台北市北投區杏林三路 , 公寓 , 44.8年 , 1 / 5樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS185350&pi=33&st=&si=3&spu=agiafkd,KZ5大橋頭捷運超強美寓,1498萬,5房0廳5衛35.61坪(建坪),台北市大同區伊寧街 , 公寓 , 40.2年 , 2 / 5樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS185736&pi=33&st=&si=6&spu=adkefkg,B9晴光雙城公園低總套房,898萬,降價858,台北市中山區雙城街 , 華廈 , 43.2年 , 3 / 6樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS34382&pi=33&st=&si=9&spu=ahkafak,僑聯信義坡平車位B4,350萬,10.26坪(建坪),台北市信義區永吉路 , 其他 , 7.2年 , B4 / 14樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS10080&pi=34&st=&si=1&spu=aejakkd,民權雙捷電梯3房附車位,4250萬,3房2廳2衛66.71坪(建坪),台北市大同區承德路三段 , 大樓 , 26.8年 , 3 / 11樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=XS106373&pi=34&st=&si=2&spu=aejakkd,南港經貿世界心氣派辦公,5988萬,開放式96.16坪(建坪),台北市南港區重陽路 , 大樓 , 12.5年 , 2 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS168991&pi=34&st=&si=3&spu=agaakkd,綠景電梯三房,2251萬,3房2廳2衛50.04坪(建坪),台北市信義區祥雲街 , 華廈 , 43.3年 , 2 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS18019&pi=34&st=&si=4&spu=aejakkd,H10雙子星北門捷運旺旺宅,4800萬,5房2廳2衛74.5坪(建坪),台北市大同區長安西路 , 大樓 , 24年 , 2 / 10樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS170437&pi=34&st=&si=5&spu=aejakkd,巴洛克風格文山名人,6580萬,4房2廳3衛105.01坪(建坪),台北市文山區政大一街 , 別墅 , 16.7年 , B1-4 / 4樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS22954&pi=34&st=&si=6&spu=agaakkd,南京松江大降價店面,6900萬,6廳2衛155.98坪(建坪),台北市中山區新生北路一段 , 大樓 , 45.5年 , 1-B1 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS168844&pi=34&st=&si=7&spu=agaakkd,薇閣中學綠蔭四房景觀美廈,2188萬,4房2廳2衛45.29坪(建坪),台北市北投區珠海路 , 其他 , 37.6年 , 3 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS180055&pi=34&st=&si=8&spu=aejakkd,F3民權捷運3房露台車,4250萬,3房2廳2衛66.71坪(建坪),台北市大同區承德路三段 , 大樓 , 26.8年 , 3 / 11樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS181658&pi=34&st=&si=9&spu=aejakkd,大直北安學區美華廈,3658萬,3房2廳2衛56.31坪(建坪),台北市中山區通北街 , 華廈 , 26.5年 , 6 / 9樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=XS124192&pi=34&st=&si=10&spu=afiebkd,世界心高樓辦公,6200萬,降價5988,台北市南港區重陽路 , 大樓 , 12.5年 , 9 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS186692&pi=35&st=&si=1&spu=dgfabak,三興全聯車位,180萬,3.67坪(建坪),台北市信義區吳興街 , 華廈 , 24年 , 1 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187340&pi=35&st=&si=2&spu=gcaabkg,BZ7三捷運美美金雞母,858萬,1房1廳1衛9.28坪(建坪),台北市中山區錦州街 , 大樓 , 45.3年 , 7 / 10樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS175097&pi=35&st=&si=3&spu=adkakkj,中山國小站低總美套,586萬,1室1衛7.79坪(建坪),台北市中山區新生北路二段 , 大樓 , 45.8年 , 11 / 14樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS27946&pi=35&st=&si=4&spu=acakfkd,&中正傳家．高樓豪邸,23000萬,降價18000,台北市中正區羅斯福路一段 , 大樓 , 15.6年 , 13 / 14樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS171749&pi=35&st=&si=5&spu=ajaafak,極上倉儲車位,80萬,5.11坪(建坪),台北市北投區光明路 , 大樓 , 19.7年,,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS181142&pi=35&st=&si=6&spu=ajaafak,鎮金殿便宜車位88,90萬,7.88坪(建坪),台北市中山區天祥路 , 大樓 , 19.9年 , B5 / 14樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS171188&pi=35&st=&si=7&spu=aghafkd,北投景觀樓中樓6房雙車,4088萬,5房2廳2.5衛94.22坪(建坪),台北市北投區泉源路 , 大樓 , 32.5年 , 11 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS150793&pi=35&st=&si=8&spu=aeiakkd,南京三民一層一戶辦公,6480萬,辦公室使用格局103.29坪(建坪),台北市松山區基隆路一段 , 大樓 , 32.3年 , 9 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS124061&pi=35&st=&si=9&spu=aiaakad,陽明山傳家別墅用地,25000萬,841.09坪(地坪),台北市士林區力行段三小段 , 別墅,,,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS27172&pi=36&st=&si=1&spu=aeiakkd,敦南名仕園邊間四房,3288萬,4房2廳2衛47.36坪(建坪),台北市大安區和平東路三段 , 華廈 , 40.5年 , 4 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS176707&pi=36&st=&si=2&spu=ecaebke,林森晶華小美居,1120萬,降價1020,台北市中山區林森北路 , 華廈 , 38.1年 , 2 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187226&pi=36&st=&si=3&spu=gcaabke,B6中山國小捷運景觀套房,1095萬,1房1廳1衛11.44坪(建坪),台北市中山區新生北路三段 , 大樓 , 43.8年 , 8 / 14樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS181162&pi=36&st=&si=5&spu=afhafkk,JZ1松山饒河金鑽小商鋪,488萬,開放式8.47坪(建坪),台北市南港區八德路四段 , 大樓 , 28.9年 , 1 / 16樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS186394&pi=36&st=&si=6&spu=deaafkd,光輝高樓景觀美居,1920萬,3房2廳1衛28.96坪(建坪),台北市文山區光輝路 , 公寓 , 42.6年 , 5 / 5樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS186605&pi=36&st=&si=7&spu=eckabkd,BZ5中山國小高樓採光3房,1880萬,3房2廳1衛22.59坪(建坪),台北市中山區林森北路 , 大樓 , 42.5年 , 10 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS186699&pi=36&st=&si=8&spu=eckabkd,C25遠宏香榭雙主臥參車位,2980萬,2房1廳2衛40.87坪(建坪),台北市中山區龍江路 , 華廈 , 11.7年 , 3 / 8樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS186734&pi=36&st=&si=9&spu=ecaebkd,AZ7新東京宅最強地段美宅,1998萬,降價1950,台北市中山區南京東路二段 , 大樓 , 14.2年 , 8 / 18樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187236&pi=36&st=&si=10&spu=gcaabkd,B7捷運中山挑高採光套房,1198萬,1房1廳1衛10.41坪(建坪),台北市中山區中山北路一段 , 華廈 , 23.5年 , 7 / 10樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187174&pi=37&st=&si=1&spu=gcaabkd,松車河景高樓二房,1800萬,2房1廳1衛(含加蓋1房)18.4坪(建坪),台北市松山區八德路四段 , 大樓 , 27.4年 , 10 / 14樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187298&pi=37&st=&si=2&spu=gcaabkd,F4捷運南京復興三樓美寓,2488萬,3房2廳2衛28.66坪(建坪),台北市中山區合江街 , 公寓 , 42年 , 3 / 5樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187284&pi=37&st=&si=3&spu=gcaabkd,F8明珠精裝必賣3樓,2388萬,3房2廳2衛25.22坪(建坪),台北市南港區興南街 , 公寓 , 46.5年 , 3 / 4樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187242&pi=37&st=&si=4&spu=gcaabkd,D9西門超值稀有2房住辦,2580萬,2房2廳1衛29.54坪(建坪),台北市萬華區西寧南路 , 大樓 , 20年 , 6 / 14樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187310&pi=37&st=&si=5&spu=gcaabkd,B11承德民生西景觀美宅,3112萬,4房1廳3衛37.03坪(建坪),台北市大同區承德路二段 , 大樓 , 39.8年 , 8 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=OS198365&pi=37&st=&si=6&spu=gcaabkd,敦南逸園精緻美宅,4380萬,2房2廳1.5衛34.92坪(建坪),台北市大安區敦化南路二段 , 大樓 , 34.5年 , 11 / 11樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187232&pi=37&st=&si=7&spu=gcaabkd,H5民生福星四房邊間車位,5888萬,4房2廳2衛52.89坪(建坪),台北市大同區民生西路 , 華廈 , 25.8年 , 5 / 10樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187224&pi=37&st=&si=8&spu=gcaabkd,JZ8北車低總精緻美辦,1468萬,1房1廳0衛16.67坪(建坪),台北市中正區重慶南路一段 , 其他 , 42.1年 , 8 / 8樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS36264&pi=37&st=&si=9&spu=gcaabkd,南京御邸時尚裝潢宅,8988萬,2房2廳2衛61.65坪(建坪),台北市中山區南京東路三段 , 大樓 , 4年 , 3 / 20樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187334&pi=37&st=&si=10&spu=gcaabkd,E12中山世紀林蔭豪邸,21320萬,3房2廳4衛156坪(建坪),台北市中山區中山北路二段 , 大樓 , 8.7年 , 12 / 14樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS177464&pi=38&st=&si=1&spu=gcaabkd,情定威尼斯-電梯邊間二房+車位,1880萬,2房1廳2衛(含加蓋1房/1衛)17.38坪(建坪),台北市信義區松仁路 , 華廈 , 10.6年 , 6 / 9樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187322&pi=38&st=&si=2&spu=gcaabkd,B11承德民生大空間美宅,4490萬,6房2廳3衛53.42坪(建坪),台北市大同區承德路二段 , 大樓 , 39.8年 , 8 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS36529&pi=38&st=&si=3&spu=gcaabkd,松河麗景綠蔭四房雙車,4380萬,4房2廳2衛57.09坪(建坪),台北市南港區松河街 , 大樓 , 16.7年 , 2 / 15樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187492&pi=38&st=&si=4&spu=gcaabkd,世貿低總價邊間公寓4樓,2260萬,4房2廳2.5衛(含加蓋1房/0.5衛)26.5坪(建坪),台北市信義區基隆路二段 , 公寓 , 47.8年 , 4 / 4樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS177462&pi=38&st=&si=5&spu=gcaabkd,士林捷運收租鼎家,3480萬,4房廳4衛31.31坪(建坪),台北市士林區文林路 , 華廈 , 42.3年 , 7 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS36495&pi=38&st=&si=6&spu=gcaabkd,雙敦學區一樓庭院美宅,3680萬,3房2廳2衛(含加蓋1房/1衛)40.01坪(建坪),台北市松山區延吉街 , 華廈 , 46.7年 , 1 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS37144&pi=38&st=&si=7&spu=ecaebkd,大安稀有瑞安街店辦,5888萬,降價5500,台北市大安區瑞安街 , 華廈 , 45.1年 , 1 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187420&pi=38&st=&si=8&spu=gcaabkd,信義香榭典雅高樓房車,3588萬,1房1廳1衛36.2坪(建坪),台北市信義區信義路五段 , 大樓 , 17.9年 , 14 / 19樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS169101&pi=38&st=&si=10&spu=aehakkd,植物園美妝大空間,3344萬,3房3廳3衛52.69坪(建坪),台北市中正區汀州路一段 , 華廈 , 35.5年 , 5 / 8樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS06340&pi=39&st=&si=1&spu=ahaakak,南京復興機械車位,120萬,3.44坪(建坪),台北市中山區龍江路 , 華廈 , 33.2年 , B2 / 5樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS161986&pi=39&st=&si=2&spu=ahaakak,國揚天母坡平車位,330萬,10.19坪(建坪),台北市士林區中山北路六段 , 其他 , 12.5年 , B3 / 13樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=XS105469&pi=39&st=&si=3&spu=aehakkd,世貿財盛商辦附車,3680萬,OPEN58.07坪(建坪),台北市信義區基隆路二段 , 大樓 , 33年 , 4 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS20701&pi=39&st=&si=4&spu=ahaakak,基泰國際坡道機械車位X2,360萬,11.69坪(建坪),台北市信義區基隆路二段 , 大樓 , 14.2年 , B6 / 15樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS20777&pi=39&st=&si=5&spu=ahaakak,基泰國際坡道機械車位,180萬,5.85坪(建坪),台北市信義區基隆路二段 , 大樓 , 14.2年 , B6 / 15樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS181593&pi=39&st=&si=6&spu=aehakkd,FZ5古亭捷運買兩房送套房,3344萬,3房3廳3衛52.68坪(建坪),台北市中正區汀州路一段 , 大樓 , 35.5年 , 5 / 8樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS172010&pi=39&st=&si=7&spu=afkafkd,石牌國中花園三房車位,2588萬,3房2廳2衛48.18坪(建坪),台北市北投區中山北路七段 , 華廈 , 40.2年 , 1 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS169520&pi=39&st=&si=8&spu=afkafkd,雨農國小獨戶美寓$,2780萬,4房2廳2衛50.88坪(建坪),台北市士林區芝玉路一段 , 公寓 , 39年 , 5 / 5樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS173021&pi=39&st=&si=9&spu=afkafkd,稀有綠景低總價電梯頂家,1380萬,4房4廳2衛(含加蓋2房/2廳/1衛)24.85坪(建坪),台北市北投區奇岩路 , 華廈 , 39.2年 , 5 / 5樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS173501&pi=39&st=&si=10&spu=afkafkd,捷運出口公寓二樓商業土地,1580萬,3房2廳2衛29.14坪(建坪),台北市北投區溫泉路 , 公寓 , 54.8年 , 2 / 4樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS186440&pi=40&st=&si=1&spu=ddaebkd,芝山捷運電梯三房,2988萬,降價2780,台北市士林區福國路 , 華廈 , 47.9年 , 5 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS176394&pi=40&st=&si=2&spu=ddaebkd,芝山捷運電梯3房美廈,2988萬,降價2780,台北市士林區福國路 , 華廈 , 47.9年 , 5 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS176993&pi=40&st=&si=3&spu=fdaabkd,北投捷運稀有國揚二樓,2250萬,3房2廳1衛29.48坪(建坪),台北市北投區大興街 , 公寓 , 44.9年 , 2 / 4樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS177173&pi=40&st=&si=4&spu=fdaabkd,奇岩重劃宏普大兩房兩衛坡車,3750萬,2房2廳2衛49.08坪(建坪),台北市北投區三合街一段 , 華廈 , 9.3年 , 5 / 9樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS35956&pi=40&st=&si=6&spu=fdaabkd,河濱景觀第一排,4288萬,3+1房2廳2衛54.88坪(建坪),台北市文山區木新路三段 , 大樓 , 14.8年 , 6 / 11樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS187302&pi=40&st=&si=7&spu=ddaebkd,芝山捷運福國電梯三房,2988萬,降價2780,台北市士林區福國路 , 華廈 , 47.9年 , 5 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS186585&pi=40&st=&si=8&spu=ddaebkd,F7麟光捷運稀有二樓,2288萬,降價2238,台北市信義區和平東路三段 , 公寓 , 48.1年 , 2 / 4樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=OS185057&pi=40&st=&si=9&spu=adakbkd,專任近捷運邊間大空間,3988萬,降價2899,台北市北投區明德路 , 公寓 , 35.8年 , 5 / 5樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS178056&pi=40&st=&si=10&spu=fdaabkd,天母國小邊間二樓,3238萬,0房0廳1衛41.36坪(建坪),台北市士林區天玉街 , 公寓 , 45.9年 , 2 / 5樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS166083&pi=41&st=&si=2&spu=agfafkd,北投薇閣中學名門大宅院,8888萬,9房7廳7衛(含加蓋1房/1廳)200.63坪(建坪),台北市北投區翠宜路 , 別墅 , 40.8年 , B1-3 / 3樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS175006&pi=41&st=&si=3&spu=agfafkd,陽明山景花園百坪別墅,4988萬,4房4廳4衛123.91坪(建坪),台北市北投區行義路 , 別墅 , 32.3年 , B2-4 / 4樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS176685&pi=41&st=&si=4&spu=eeaabkd,北投捷運邊間3樓公寓,1988萬,3房2廳1衛28.68坪(建坪),台北市北投區大興街 , 公寓 , 44.9年 , 3 / 4樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS171694&pi=41&st=&si=5&spu=afgafkj,文大商圈美廈大套房,598萬,1房廳1衛10.24坪(建坪),台北市士林區格致路 , 大樓 , 23.1年 , 2 / 9樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS185558&pi=41&st=&si=6&spu=ahaafkd,I9天母家樂福5坡平大車位,1700萬,53.4坪(建坪),台北市士林區德行西路 , 大樓 , 16.5年 , B2 / 13樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS166685&pi=41&st=&si=7&spu=adkakkd,中正低總價靜巷公寓,1560萬,3房2廳1衛22.06坪(建坪),台北市中正區重慶南路三段 , 公寓 , 57.5年 , 4 / 4樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS12984&pi=41&st=&si=8&spu=adkakkd,長安電梯美居,3500萬,4房2廳2衛49.03坪(建坪),台北市中山區長安東路一段 , 華廈 , 51.7年 , 3 / 6樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS10244&pi=41&st=&si=9&spu=adkakkd,長安東雙併美廈,3500萬,4房1廳2衛49.03坪(建坪),台北市中山區長安東路一段 , 華廈 , 51.7年 , 3 / 6樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=YS152837&pi=41&st=&si=10&spu=adkakkd,T140美校電梯大庭院別墅,11888萬,8房3廳5衛152.4坪(建坪),台北市士林區中山北路七段 , 別墅 , 31.6年 , 4-B1 / 4樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=WS19102&pi=42&st=&si=1&spu=adkakkd,H8民生圓環景觀大戶釋出,4950萬,4房4廳2衛65.92坪(建坪),台北市松山區民生東路五段 , 大樓 , 47.8年 , 10 / 12樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS163612&pi=42&st=&si=2&spu=adkakkd,大安面公園美廈,4388萬,4房2廳3衛55.63坪(建坪),台北市大安區基隆路二段 , 華廈 , 54.3年 , 3 / 7樓,,,
2024/11/28 00:24,https://www.hbhousing.com.tw/detail/?sn=ZS173482&pi=42&st=&si=3&spu=adkakkd,德利蓮莊稀有傳家好宅,3800萬,2房2廳2衛2室/加蓋3房2衛51.8坪(建坪),台北市文山區福興路 , 別墅 , 31.3年 , B1-2 / 2樓,,,
